date,author,likes,score,content
2019/2/6 12:43,其实是樊星呀,0,10,超棒www
2019/2/6 10:56,求索天地间,0,10,真的特别好，没有别的话
2019/2/5 15:25,uuuuuuz,1,10,制作精良的一个节目，提升自己的爱国情怀
2019/2/5 13:18,念己凉,1,10,发展国家文化物资传承精神，好！！！
2019/2/5 8:06,之之于,1,10,非常非常好的节目，意义深刻，央视果然是爸爸
2019/2/5 19:52,越虔诚越幸运,0,10,一个看了让人泪目的节目。什么是文化自信，这就是！
2019/2/5 15:52,一个神经病小丑,0,10,希望大家看完后能更加坚定的说，我是个中华儿女
2019/2/5 14:19,麝香女神朱宜修,0,10,好
2019/2/5 13:33,樱田千叶,0,10,在给大家带来视觉盛宴接受中华优秀传统文化熏陶的过程中，中华儿女的民族自豪感油然而生
2019/2/5 5:18,美国大城市的死与生,0,10,就需要这样的综艺啊
2019/2/5 1:42,南边有只鸡,0,8,虽然列出的前世故事很感人，但是。。这不该是文物节目吗？
2019/2/4 9:07,猛男周漂亮,0,10,好呀
2019/2/4 7:10,你是一条柴,0,10,精彩纷呈！特别喜欢汉简！！国家宝藏加油！！
2019/2/4 3:44,不是锦鲤非好汉的阿越,0,10,非常喜欢国家宝藏，第二季重点体现各个省份博物馆中能突出体现该省份在中华历史文明中推动作用的国宝，让历史和国宝活起来，不论服饰，餐饮，文字，建筑还是各种工艺，还原历史坐标原点，知来处明去处，非常喜欢
2019/2/4 2:45,春分小姐,0,10,超爱我们国家
2019/2/4 1:46,Unbel1evaIbe,0,10,好看
2019/2/3 2:45,ESN丶XC,1,10,壮我山西
2019/1/28 1:43,白芝酱爱番茄,7,10,学到了不少知识，真的是很好的节目。传播中华历史～以及不知道某些人到底是因为宝藏而来还是为了人而评。
2019/2/3 19:04,神圣的西瓜,0,8,非常好的节目 但是实在不喜欢前世传奇，每次都跳过
2019/2/3 14:51,橘子葡萄通通都归我,0,10,从剧本，舞美，演员，讲解员，嘉宾都是满分
2019/2/3 14:11,盼盼宝宝,0,10,知来处，明去处，喜欢这个立意
2019/2/3 13:41,左栖希,0,8,真的真的一直期待我山东，但是选角真的让我难受死了，一直在想算了不看了吧，但是毕竟是我山东。唉:-(不说了难受
2019/2/3 13:20,天外山山外人,0,10,满分没得说
2019/2/3 12:49,八扇,0,10,希望有下一季。
2019/2/3 10:36,子曰与花,0,10,凭借蕴含中华文明精神的文物，弘扬中国优秀品德，激发国人爱国热情，知来路，明去路！这是一个优秀正能量的文艺作品，对中国文化传承与创新都有重要意义。中国人以中国文化为傲，以中国历史证明中国强！
2019/2/3 8:47,寒无出,0,8,央视的片不比别处
2019/2/3 8:15,叫我B王大人,0,10,好！
2019/2/3 7:53,我是狂人俊,0,10,看完之后有种想学习的冲动，为的是那还没继承的祖先的智慧，为的是那还没回到家乡的文物，为的是那还没尽显光辉的中华文化！
2019/2/3 7:13,鱼人蔨,0,10,感动啊实在是感动
2019/2/3 7:05,Denise韦,0,10,感动
2019/2/3 6:59,初见念已,0,10,我们很年轻
2019/2/3 4:10,低调的侄子,0,10,非常好看，让我了解了更多的历史，知道了更多文化，向这些传承人和栏目组致敬，谢谢你们让我们看到了这些瑰宝。也给准备参加工作攒钱到处旅游的我加了一个去各地博物馆参观的行程。真的谢谢
2019/2/3 3:50,毛皮二厂职工,0,10,一直使用哔哩哔哩十年了，天下漫友是一家希望新的一年继续发展
2019/2/3 3:22,温-公子,0,10,以铜为鉴，可以正衣冠，以人为鉴，可以知得失，以史为鉴，可以知兴替。此生无悔去华夏，来生愿在种花家
2019/2/3 2:30,T田恬甜,0,10,每次看都为身为中国人而自豪
2019/2/3 0:35,某科学的御坂老公,0,10,真厉害…
2019/2/3 0:12,拉拉land,0,10,超级棒
2019/2/2 16:53,拔萝卜啦囧,1,10,最好的节目 最好的华夏文化
2018/12/23 11:47,比例比GG公告v,0,10,给101分不怕你骄傲!一如既往的好!我的眼泪啊。。。
2019/2/2 17:37,HK妖怪,0,10,我最喜欢的综艺节目
2019/2/2 17:35,是小魇嘛,0,10,大爱
2019/2/2 17:31,喵喵喵语酱,0,10,不给满分对不起自己，历史不及格？快过来，给你补习上下五千年
2019/2/2 16:37,M朔硕,0,10,好看！！！
2019/2/2 16:34,千岛秋,0,10,吼看
2019/2/2 16:20,君轻_,0,10,感谢山西
2019/2/2 13:31,兴兴点心,0,10,非常非常非常非常非常非常非常非常非常非常非常非常非常非常非常非常非常非常非常非常非常非常非常非常非常非常非常非常非常非常非常非常非常非常非常非常非常非常非常非常非常非常非常非常非常非常非常非常非常好
2019/2/2 13:12,一束野蘑菇,0,10,非常有意义的综艺节目，希望会有更多此类型的综艺让我追
2019/2/2 11:30,舒寐,0,10,盆友，你啥时候才把你两季的音乐做出一个单独的剪辑放出来！这么高水准，以后可让我等咋去看X是歌手，XX好声音之类的
2019/1/28 0:40,mortal124,5,10,国家历史文化传承有此档节目，幸甚
2019/2/1 14:36,love段忧,0,10,追了第一季现在追第二季~~
2019/2/1 6:01,bavalon,0,10,真正做到雅俗共赏！
2019/1/31 2:41,夜莫之秋,1,10,我觉得古代人很讲究也很聪明，我很喜欢看考古的，我最喜欢古代的服饰。像日本他们很尊重礼仪和服饰的，成年那天会穿服饰所以流传至今。我也想中国把自己古代的服饰推广出来。比如中秋节穿古代衣服多好看(???)
2019/1/31 0:55,芷兰0912,1,10,在b站学历史
2019/1/30 15:45,翻滚的小可乐,2,10,学历史的我表示很受触动
2019/1/29 1:36,莫莫820,3,10,之前没关注，这次看了山东博物馆这一期，挺有意思的，每个文物都承载了一段历史，通过历史了解我们华夏文明，了解我们祖宗的智慧。
2019/1/27 7:22,过气柚又在线丢人,5,10,奶思!汉服娘激动哭了
2019/1/31 16:17,没梦想の咸鱼,0,10,很棒
2019/1/31 14:24,陈道长,0,10,肯定满分啊！！！大爱这个节目
2019/1/31 13:25,嗷呜虎砸,0,10,每一集都更了解祖国一点，身为种花家一员，我骄傲。爱你啊，中国！
2019/1/31 12:07,荏夏苒秋,0,10,大爱国宝，大爱中华～给良心综艺点赞！
2019/1/31 10:35,遥见繁烟纷飞落,0,10,中华文化源远流长，希望人们不要忘了我们的优良传统和品德
2019/1/31 2:58,Kusunoki_Kun,0,10,牛逼就完事了
2019/1/30 17:14,祝您百年好合,1,10,观看节目最重要的是素质与理解。跟风无脑黑只能拉低观众的素质
2019/1/30 15:02,佛系凡尘,1,10,我为我是一个中国人而自豪
